,Airline,Source,Destination,Day,Total_Stops,Additional_Info,Route,Dep_Time,Duration,Month,Price
0,3,0,5,3,3,2,6,149,170,3,3897.0
1,1,3,0,2,1,2,23,17,445,1,7662.0
2,4,2,1,0,1,2,45,47,1140,9,13882.0
3,3,3,0,4,0,2,27,114,325,12,6218.0
4,3,0,5,4,0,2,9,103,285,1,13302.0
5,6,3,0,1,3,2,14,45,145,6,3873.0
6,4,0,5,5,0,0,1,119,930,12,11087.0
7,4,0,5,4,0,2,1,36,1265,1,22270.0
8,4,0,5,5,0,0,1,44,1530,12,11087.0
9,5,2,1,1,0,2,34,61,470,5,8625.0
10,1,2,1,3,0,2,33,51,795,1,8907.0
11,3,3,0,4,3,2,14,133,155,4,4174.0
12,1,1,4,1,3,2,53,64,135,6,4667.0
13,4,3,0,4,0,0,15,141,730,9,9663.0
14,3,3,0,6,3,2,14,107,155,4,4804.0
15,1,2,1,3,1,2,29,101,1595,3,14011.0
16,6,2,1,1,0,2,49,42,270,4,5830.0
17,4,2,1,0,0,0,34,78,1355,12,10262.0
18,1,2,1,0,1,2,35,132,1380,12,13381.0
19,4,2,1,1,0,0,34,97,1235,5,12898.0
20,2,2,1,1,0,2,34,80,310,6,19495.0
21,1,0,5,4,0,2,5,146,920,3,6955.0
22,3,0,2,1,3,2,6,7,170,3,3943.0
23,3,0,2,2,3,2,6,119,175,1,4823.0
24,4,3,0,6,0,0,15,119,800,6,7757.0
25,4,2,1,0,1,2,41,144,910,9,13292.0
26,3,2,1,3,0,2,46,145,345,1,8238.0
27,2,2,1,6,0,2,34,29,355,5,7682.0
28,7,0,2,5,3,2,6,51,170,6,4668.0
29,7,1,4,2,3,2,53,30,135,6,3687.0
30,7,1,4,5,3,2,53,30,135,6,3687.0
31,1,3,0,2,1,2,20,52,805,1,13227.0
32,3,0,2,5,3,2,6,7,170,6,4423.0
33,4,2,1,2,1,0,48,84,1320,6,10919.0
34,4,2,1,2,0,0,34,30,330,5,12373.0
35,3,2,1,4,0,2,34,56,625,6,5894.0
36,6,3,0,5,0,2,26,89,315,5,4649.0
37,1,3,0,2,3,2,14,81,150,5,6245.0
38,4,0,5,1,0,2,1,29,375,6,19225.0
39,4,2,1,6,0,2,34,30,715,3,14924.0
40,5,2,1,5,0,2,39,30,665,5,9646.0
41,1,0,5,0,0,2,1,26,510,3,8714.0
42,4,2,1,2,0,0,34,138,1325,5,12373.0
43,0,0,2,6,3,2,6,60,165,6,3383.0
44,5,2,1,4,0,2,34,45,720,3,13062.0
45,6,0,5,3,3,1,6,16,170,3,3527.0
46,3,0,2,1,3,2,6,7,170,5,3943.0
47,1,1,4,5,3,2,53,64,135,3,4667.0
48,1,3,0,6,0,2,21,120,965,5,6117.0
49,4,2,1,4,1,0,29,153,1195,6,11150.0
50,4,2,1,5,3,0,36,58,195,9,7202.0
